GEND,SCHOOL,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED,DIST
120,11120,178.0,1.0,903,87.66666666666667,6,0,94.52
120,10613,199.0,4.0,737,72.83333333333333,1,0,117.408
120,10316,191.0,1.0,900,90.0,3,0,50.891
120,11188,178.0,1.0,940,94.0,3,0,59.435
120,10761,193.0,5.0,897,88.0,2,0,201.097
119,10786,175.0,5.0,752,75.16666666666667,1,0,53.046
119,10812,178.0,1.0,937,93.66666666666667,5,0,117.408
119,10812,178.0,1.0,968,94.33333333333333,4,0,117.408
120,10232,199.0,2.0,868,86.83333333333333,6,0,
120,11085,179.0,1.0,863,86.33333333333333,4,0,108.856
119,11058,194.0,1.0,962,95.5,5,0,95.506
119,11140,178.0,2.0,913,91.33333333333333,3,0,94.52
119,11140,194.0,3.0,817,81.66666666666667,7,0,85.743
120,10812,194.0,3.0,927,88.5,2,0,117.408
120,11239,,,923,90.5,7,0,78.844
119,10548,178.0,1.0,932,93.16666666666667,3,0,123.468
120,11021,178.0,1.0,968,95.5,2,0,36.861
120,10230,178.0,1.0,953,95.33333333333333,2,0,71.053
120,10316,194.0,1.0,803,77.66666666666667,4,0,50.891
120,10451,178.0,1.0,950,95.0,4,0,48.217
119,10407,197.0,3.0,977,96.66666666666667,4,0,182.004
120,10356,178.0,1.0,953,94.5,3,0,21.04
120,10587,179.0,6.0,835,83.5,3,0,101.274
120,10587,,,798,84.75,3,0,91.207
119,11140,194.0,1.0,928,92.83333333333333,6,0,80.095
119,11140,194.0,1.0,907,87.5,6,0,86.654
119,10709,190.0,6.0,872,84.5,1,0,34.328
119,10812,191.0,1.0,877,82.16666666666667,4,0,117.408
119,11140,178.0,1.0,908,90.16666666666667,6,0,94.52
120,11140,190.0,2.0,937,92.5,9,0,80.095
120,11140,194.0,1.0,910,90.83333333333333,7,0,93.422
120,10587,199.0,4.0,838,83.16666666666667,3,0,94.52
120,10587,194.0,2.0,883,88.33333333333333,3,0,92.454
119,10709,178.0,1.0,972,96.16666666666667,3,0,30.775
120,10402,,,890,88.5,1,0,454.886
119,11140,194.0,3.0,887,88.66666666666667,7,0,92.454
120,10587,194.0,9.0,900,90.0,2,0,92.454
120,10230,,,843,82.66666666666667,4,0,70.053
120,10611,178.0,1.0,898,89.66666666666667,2,0,79.807
120,10384,179.0,1.0,935,93.5,2,0,73.9
120,11140,194.0,2.0,860,86.0,5,0,85.743
120,11140,194.0,2.0,888,88.83333333333333,5,0,92.454
120,10402,191.0,1.0,893,89.0,3,0,451.134
120,10480,178.0,14.0,860,86.0,6,0,
120,11233,194.0,1.0,900,89.33333333333333,2,0,106.86
119,10538,193.0,3.0,888,87.33333333333333,2,0,743.517
120,11140,194.0,1.0,922,92.16666666666667,3,0,70.068
120,10909,199.0,2.0,877,96.0,3,0,47.066
120,11140,194.0,8.0,838,83.83333333333333,6,0,94.52
119,10331,,,983,96.16666666666667,1,0,47.066
120,10210,175.0,5.0,867,86.66666666666667,3,0,67.903
120,11140,194.0,1.0,935,93.5,3,0,90.18
119,10304,,,798,77.66666666666667,6,0,
120,10799,199.0,1.0,883,86.0,6,0,502.648
119,10304,,,898,89.83333333333333,7,0,
120,11082,194.0,2.0,952,94.83333333333333,4,0,108.667
120,10327,178.0,3.0,897,90.0,12,0,104.717
120,11142,,,857,85.66666666666667,6,0,88.169
119,10799,193.0,1.0,860,84.33333333333333,5,0,516.275
119,10611,178.0,3.0,933,91.83333333333333,2,0,69.576
120,10888,178.0,1.0,847,84.66666666666667,4,0,82.229
120,10580,191.0,1.0,923,92.33333333333333,3,0,339.69
120,10523,179.0,2.0,953,93.66666666666667,3,0,138.978
120,11239,194.0,1.0,928,91.33333333333333,12,0,80.095
120,10729,191.0,2.0,952,95.16666666666667,3,0,497.219
120,10273,181.0,2.0,773,77.33333333333333,1,0,49.547
120,10912,178.0,4.0,907,93.0,1,0,21.165
120,11184,177.0,3.0,958,95.83333333333333,2,0,108.952
120,10232,179.0,3.0,928,91.0,2,0,77.704
119,10946,194.0,2.0,953,94.16666666666667,4,0,454.168
120,11168,191.0,2.0,875,84.0,4,0,522.064
119,10585,191.0,1.0,957,95.33333333333333,3,0,37.191
120,10429,191.0,1.0,982,97.16666666666667,5,0,35.959
119,10909,193.0,4.0,860,96.0,5,0,63.928
120,10273,194.0,1.0,873,87.33333333333333,2,0,49.865
120,10273,,,777,77.66666666666667,2,0,49.865
119,10350,178.0,1.0,963,93.5,5,0,96.7
120,11140,194.0,3.0,860,86.0,2,0,86.654
120,11088,178.0,3.0,932,92.5,2,0,86.654
120,11140,,,0,93.0,4,0,95.506
119,11088,178.0,2.0,940,94.0,4,0,90.18
120,10528,197.0,1.0,917,88.66666666666667,3,0,43.773
120,11168,,,832,80.33333333333333,6,0,527.706
119,10214,191.0,1.0,968,95.83333333333333,5,0,19.322
119,11030,194.0,1.0,933,92.33333333333333,4,0,77.704
119,10827,191.0,1.0,912,91.16666666666667,3,0,273.902
120,10387,179.0,1.0,877,85.66666666666667,3,0,91.6
119,10217,178.0,2.0,922,92.16666666666667,4,0,56.791
120,11233,194.0,2.0,962,96.16666666666667,7,0,90.18
120,10217,,,662,66.16666666666667,1,0,69.301
119,10574,178.0,1.0,933,92.66666666666667,3,0,138.978
120,10217,178.0,3.0,880,88.0,4,0,69.301
120,11197,178.0,1.0,940,93.33333333333333,3,0,502.648
120,10625,193.0,2.0,795,79.5,8,0,122.771
120,10316,199.0,4.0,898,88.66666666666667,2,0,50.891
120,10567,190.0,7.0,895,84.16666666666667,3,0,101.274
119,10302,194.0,1.0,893,89.33333333333333,2,0,29.132
119,11058,,,978,97.83333333333333,3,0,70.068
120,11237,191.0,1.0,897,89.66666666666667,3,0,496.986
120,10304,199.0,3.0,867,86.33333333333333,2,0,
120,10321,,,880,88.0,3,0,
119,11082,193.0,6.0,858,85.83333333333333,4,0,101.274
120,11140,191.0,4.0,868,86.83333333333333,8,0,85.743
119,10217,178.0,5.0,962,95.83333333333333,8,0,69.301
120,11140,194.0,1.0,917,90.5,3,0,86.654
120,10777,199.0,2.0,933,93.33333333333333,3,0,517.127
120,10904,191.0,4.0,965,98.0,3,0,323.122
